YEAR,면적(ha),생산량(톤),조수입(백만원),재배농가(호),kg당가격(원),연평균기온(℃),연최고기온(℃),연최고일평균기온(℃),연최저일평균기온(℃),연최저기온(℃),연평균풍속(m/s),최대순간풍속(m/s),최대풍속(m/s),최다풍향(°),연평균지면온도(℃),최고지면온도(℃),최저지면온도(℃),연평균상대습도(%),최저상대습도(%),평균중하층운량(hPa),평균전운량(hPa),연합계강수량(mm),1시간최다강수량(mm),6시간최다강수량(mm),10분최다강수량(mm),연합계안개지속시간(시간),최대시간당일사량(MJ/m²),연합계일사량(MJ/m²),연합계일조시간(시간),연간일조율(%),연평균최저초상온도(℃),최저초상온도(℃),연평균이슬점온도(℃),최고이슬점온도(℃),최고일평균이슬점온도(℃),최저이슬점온도(℃),최저일평균이슬점온도(℃),최대대형증발량(mm),최대소형증발량(mm),연합계대형증발량(mm),연합계소형증발량(mm),최소시정(m),연평균증기압(hPa),최고증기압(hPa),최저증기압(hPa)
2023,14242,405885,633398,20160,1590,17.5,37.3,31.0,-1.3,-3.4,3.3,26.1,14.0,20.0,-99.9,68.3,-10.5,69.3,14.0,4.0,6.1,1444.9,25.7,51.8,11.8,9.7,3.7,4912.0,1936.1,43.5,12.1,-3.5,11.4,26.0,25.0,-9.6,-5.8,7.8,11.2,1068.9,1525.3,19.0,15.6,33.6,3.0
2022,14405,428977,489649,19007,1141,17.0,37.5,32.2,1.1,-0.4,3.4,27.8,17.7,20.0,-99.9,60.4,0.1,71.3,18.0,4.0,6.1,1075.8,40.2,86.3,14.1,16.2,3.7,5121.0,2012.2,45.2,10.8,-7.4,11.5,28.3,26.9,-7.8,-5.7,8.6,12.2,1043.6,1489.9,10.0,16.0,38.5,3.4
2021,14607,467293,487239,19247,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,14752,515778,471881,19506,948,16.7,36.3,32.2,0.9,-1.4,3.1,37.1,25.0,320.0,-99.9,46.0,0.7,69.2,16.0,4.0,6.1,1389.5,36.0,111.6,10.7,37.0,3.7,5004.0,1890.3,42.4,10.1,-4.2,10.7,26.8,25.6,-8.8,-5.4,6.6,9.5,1016.3,1450.2,15.0,14.8,35.2,3.1
2019,14815,491149,403240,19611,821,16.8,35.4,31.1,2.9,1.0,3.0,30.4,17.4,320.0,-99.9,56.2,-0.6,69.8,10.0,4.0,6.2,1979.9,66.0,108.3,17.7,4.6,3.7,5007.0,1909.9,42.9,10.5,-4.6,10.9,27.3,26.2,-8.9,-4.8,10.6,15.2,997.3,1424.0,30.0,15.2,36.3,3.1
2018,14898,467600,503034,19863,1076,16.6,35.3,31.2,-1.9,-2.6,3.1,32.2,15.1,360.0,-99.9,66.9,-0.2,71.1,14.0,4.0,6.0,1769.5,48.8,180.5,11.6,12.4,3.7,5045.0,1939.7,43.6,11.6,-3.0,11.1,27.4,26.3,-10.1,-8.3,6.4,9.1,992.9,1418.3,21.0,15.5,36.5,2.8
2017,15006,440254,537079,20259,1220,16.8,37.0,32.1,1.6,-1.1,3.1,27.3,13.8,320.0,-99.9,60.7,-9.9,67.5,11.0,3.0,6.1,773.3,39.2,64.9,16.9,16.4,3.7,5193.0,1981.3,44.5,12.9,-1.3,10.4,28.0,26.7,-10.7,-4.3,9.1,13.1,1067.1,1524.0,28.0,14.9,37.8,2.7
2016,16610,466817,491144,22415,1052,17.0,35.5,30.8,-3.0,-5.8,3.1,47.0,29.0,20.0,-99.9,65.0,-12.3,71.9,15.0,4.0,6.4,1416.4,51.7,144.2,10.1,55.8,3.7,4743.0,1718.4,38.5,13.6,-1.4,11.6,27.2,25.5,-10.6,-6.7,7.4,10.5,757.2,1277.9,10.0,15.9,36.1,2.7
2015,16775,519243,292363,22659,563,16.7,36.7,30.5,1.7,-0.7,3.0,24.5,13.5,320.0,-99.9,65.0,-0.6,70.9,14.0,-999.0,6.2,1728.3,77.2,90.6,19.8,78.5,3.7,4861.0,1826.6,41.1,12.7,-1.2,11.1,26.3,25.4,-10.3,-5.7,6.1,8.7,659.8,1209.7,10.0,15.0,34.2,2.8
2014,16941,573442,343486,22867,599,16.2,35.2,30.4,1.0,0.1,3.2,31.8,14.6,20.0,-99.9,60.5,-0.7,70.3,16.0,-999.0,6.0,1563.4,37.2,80.5,14.2,29.9,3.6,4695.0,1755.5,39.5,12.1,-1.9,10.4,26.6,24.8,-11.2,-6.2,8.2,11.7,725.9,1285.6,10.0,14.5,34.8,2.6
2013,17165,554007,526393,23161,950,16.5,36.3,31.0,-0.7,-1.8,3.2,24.9,16.0,320.0,-99.9,66.9,-3.8,72.1,11.0,3.0,5.5,859.1,23.4,44.6,8.8,48.1,3.6,4963.0,1990.2,44.7,12.0,-3.8,11.1,27.7,26.2,-13.2,-5.7,8.8,10.8,785.5,1385.1,6.0,15.5,37.1,2.2
2012,17389,558942,454971,23511,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,17921,480565,405205,24097,843,15.6,35.8,31.0,0.1,-2.3,3.3,26.3,14.3,320.0,-99.9,60.8,-0.6,66.5,14.0,4.0,6.2,1584.9,34.5,71.0,14.5,101.3,3.7,4877.0,1681.8,38.1,11.3,-2.4,9.1,25.9,24.8,-11.0,-8.3,6.2,8.4,618.9,1169.0,6.0,13.7,33.4,2.6
2005,19068,600511,446271,30659,743,16.2,34.7,31.7,0.5,-1.5,3.5,28.3,16.2,20.0,-99.9,-99.9,-99.9,63.7,11.0,3.0,5.5,872.5,35.5,75.0,11.5,39.9,3.7,5086.0,1771.0,39.8,11.3,-3.0,9.1,25.0,23.5,-11.8,-6.1,6.0,8.8,762.5,1279.8,10.0,13.8,31.7,2.5
2000,24926,528771,302563,33979,565,15.7,36.0,30.7,0.7,-1.7,3.4,27.9,17.9,360.0,-99.9,-99.9,-99.9,66.3,12.0,3.0,5.7,1189.4,23.5,70.6,10.0,22.5,3.9,4799.0,2046.2,45.9,10.8,-2.8,9.0,24.8,23.3,-11.5,-6.9,8.0,9.8,744.1,1248.9,10.0,13.5,31.4,2.5
1995,21605,614770,480000,26589,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
